Date,Year,Month,AUDUSD
1984-01-15,1984,1,0.90508
1984-02-15,1984,2,0.934633333
1984-03-15,1984,3,0.950945455
1984-04-15,1984,4,0.923577778
1984-05-15,1984,5,0.905986957
1984-06-15,1984,6,0.882855
1984-07-15,1984,7,0.835836364
1984-08-15,1984,8,0.84626087
1984-09-15,1984,9,0.8326
1984-10-15,1984,10,0.835704348
1984-11-15,1984,11,0.859422727
1984-12-15,1984,12,0.841872222
1985-01-15,1985,1,0.81582381
1985-02-15,1985,2,0.741585
1985-03-15,1985,3,0.69642381
1985-04-15,1985,4,0.659273684
1985-05-15,1985,5,0.676295652
1985-06-15,1985,6,0.664384211
1985-07-15,1985,7,0.696978261
1985-08-15,1985,8,0.707240909
1985-09-15,1985,9,0.68957619
1985-10-15,1985,10,0.703073913
1985-11-15,1985,11,0.677857143
1985-12-15,1985,12,0.681115
1986-01-15,1986,1,0.697404762
1986-02-15,1986,2,0.699835
1986-03-15,1986,3,0.707368421
1986-04-15,1986,4,0.721871429
1986-05-15,1986,5,0.72725
1986-06-15,1986,6,0.689765
1986-07-15,1986,7,0.631873913
1986-08-15,1986,8,0.612161905
1986-09-15,1986,9,0.620968182
1986-10-15,1986,10,0.638191304
1986-11-15,1986,11,0.644645
1986-12-15,1986,12,0.659642857
1987-01-15,1987,1,0.66018
1987-02-15,1987,2,0.66631
1987-03-15,1987,3,0.687009091
1987-04-15,1987,4,0.71103
1987-05-15,1987,5,0.7141
1987-06-15,1987,6,0.717561905
1987-07-15,1987,7,0.708504348
1987-08-15,1987,8,0.707371429
1987-09-15,1987,9,0.726913636
1987-10-15,1987,10,0.713972727
1987-11-15,1987,11,0.6867
1987-12-15,1987,12,0.710881818
1988-01-15,1988,1,0.712352632
1988-02-15,1988,2,0.714142857
1988-03-15,1988,3,0.73236087
1988-04-15,1988,4,0.747805556
1988-05-15,1988,5,0.778790909
1988-06-15,1988,6,0.808333333
1988-07-15,1988,7,0.799328571
1988-08-15,1988,8,0.806117391
1988-09-15,1988,9,0.792918182
1988-10-15,1988,10,0.808990476
1988-11-15,1988,11,0.849568182
1988-12-15,1988,12,0.858975
1989-01-15,1989,1,0.870090476
1989-02-15,1989,2,0.85656
1989-03-15,1989,3,0.815761905
1989-04-15,1989,4,0.8044
1989-05-15,1989,5,0.773217391
1989-06-15,1989,6,0.755595238
1989-07-15,1989,7,0.757128571
1989-08-15,1989,8,0.762108696
1989-09-15,1989,9,0.772119048
1989-10-15,1989,10,0.77485
1989-11-15,1989,11,0.782627273
1989-12-15,1989,12,0.785857895
1990-01-15,1990,1,0.782195455
1990-02-15,1990,2,0.759765
1990-03-15,1990,3,0.755759091
1990-04-15,1990,4,0.76405
1990-05-15,1990,5,0.7618
1990-06-15,1990,6,0.778345
1990-07-15,1990,7,0.792581818
1990-08-15,1990,8,0.808773913
1990-09-15,1990,9,0.824865
1990-10-15,1990,10,0.802956522
1990-11-15,1990,11,0.774463636
1990-12-15,1990,12,0.769915789
1991-01-15,1991,1,0.779166667
1991-02-15,1991,2,0.78427
1991-03-15,1991,3,0.77187
1991-04-15,1991,4,0.779775
1991-05-15,1991,5,0.774613043
1991-06-15,1991,6,0.760431579
1991-07-15,1991,7,0.771065217
1991-08-15,1991,8,0.782386364
1991-09-15,1991,9,0.792738095
1991-10-15,1991,10,0.793773913
1991-11-15,1991,11,0.786352381
1991-12-15,1991,12,0.7723
1992-01-15,1992,1,0.748457143
1992-02-15,1992,2,0.751865
1992-03-15,1992,3,0.758845455
1992-04-15,1992,4,0.76271
1992-05-15,1992,5,0.75632381
1992-06-15,1992,6,0.75602381
1992-07-15,1992,7,0.745413043
1992-08-15,1992,8,0.725804762
1992-09-15,1992,9,0.722481818
1992-10-15,1992,10,0.715813636
1992-11-15,1992,11,0.690185714
1992-12-15,1992,12,0.689571429
1993-01-15,1993,1,0.673975
1993-02-15,1993,2,0.681235
1993-03-15,1993,3,0.707330435
1993-04-15,1993,4,0.71178
1993-05-15,1993,5,0.697871429
1993-06-15,1993,6,0.674945455
1993-07-15,1993,7,0.677472727
1993-08-15,1993,8,0.678468182
1993-09-15,1993,9,0.652113636
1993-10-15,1993,10,0.660319048
1993-11-15,1993,11,0.664886364
1993-12-15,1993,12,0.672804762
1994-01-15,1994,1,0.695605263
1994-02-15,1994,2,0.71609
1994-03-15,1994,3,0.711673913
1994-04-15,1994,4,0.716483333
1994-05-15,1994,5,0.724040909
1994-06-15,1994,6,0.733304762
1994-07-15,1994,7,0.734928571
1994-08-15,1994,8,0.740443478
1994-09-15,1994,9,0.741422727
1994-10-15,1994,10,0.738233333
1994-11-15,1994,11,0.753909091
1994-12-15,1994,12,0.77395
1995-01-15,1995,1,0.766314286
1995-02-15,1995,2,0.74529
1995-03-15,1995,3,0.734613043
1995-04-15,1995,4,0.736064706
1995-05-15,1995,5,0.727834783
1995-06-15,1995,6,0.719327273
1995-07-15,1995,7,0.726842857
1995-08-15,1995,8,0.741186957
1995-09-15,1995,9,0.754180952
1995-10-15,1995,10,0.758031818
1995-11-15,1995,11,0.745868182
1995-12-15,1995,12,0.741573684
1996-01-15,1996,1,0.741980952
1996-02-15,1996,2,0.75552381
1996-03-15,1996,3,0.771428571
1996-04-15,1996,4,0.786842105
1996-05-15,1996,5,0.796969565
1996-06-15,1996,6,0.791526316
1996-07-15,1996,7,0.789273913
1996-08-15,1996,8,0.783036364
1996-09-15,1996,9,0.792933333
1996-10-15,1996,10,0.791834783
1996-11-15,1996,11,0.796142857
1996-12-15,1996,12,0.79787
1997-01-15,1997,1,0.779057143
1997-02-15,1997,2,0.767025
1997-03-15,1997,3,0.788821053
1997-04-15,1997,4,0.778971429
1997-05-15,1997,5,0.775268182
1997-06-15,1997,6,0.753435
1997-07-15,1997,7,0.742521739
1997-08-15,1997,8,0.74122381
1997-09-15,1997,9,0.723690909
1997-10-15,1997,10,0.72123913
1997-11-15,1997,11,0.6954
1997-12-15,1997,12,0.662719048
1998-01-15,1998,1,0.654255
1998-02-15,1998,2,0.673345
1998-03-15,1998,3,0.6699
1998-04-15,1998,4,0.65239
1998-05-15,1998,5,0.631242857
1998-06-15,1998,6,0.602971429
1998-07-15,1998,7,0.618178261
1998-08-15,1998,8,0.590285714
1998-09-15,1998,9,0.588886364
1998-10-15,1998,10,0.617922727
1998-11-15,1998,11,0.634219048
1998-12-15,1998,12,0.619195238
1999-01-15,1999,1,0.631621053
1999-02-15,1999,2,0.639935
1999-03-15,1999,3,0.630034783
1999-04-15,1999,4,0.641836842
1999-05-15,1999,5,0.662133333
1999-06-15,1999,6,0.655557143
1999-07-15,1999,7,0.657772727
1999-08-15,1999,8,0.644985714
1999-09-15,1999,9,0.648936364
1999-10-15,1999,10,0.65146
1999-11-15,1999,11,0.639536364
1999-12-15,1999,12,0.640119048
2000-01-15,2000,1,0.657931579
2000-02-15,2000,2,0.629119048
2000-03-15,2000,3,0.609613043
2000-04-15,2000,4,0.598094118
2000-05-15,2000,5,0.578452174
2000-06-15,2000,6,0.594004762
2000-07-15,2000,7,0.588704762
2000-08-15,2000,8,0.58145
2000-09-15,2000,9,0.554109524
2000-10-15,2000,10,0.527704762
2000-11-15,2000,11,0.522268182
2000-12-15,2000,12,0.546678947
2001-01-15,2001,1,0.556304762
2001-02-15,2001,2,0.53512
2001-03-15,2001,3,0.504822727
2001-04-15,2001,4,0.500222222
2001-05-15,2001,5,0.520073913
2001-06-15,2001,6,0.517945
2001-07-15,2001,7,0.510131818
2001-08-15,2001,8,0.525104545
2001-09-15,2001,9,0.506255
2001-10-15,2001,10,0.505422727
2001-11-15,2001,11,0.516845455
2001-12-15,2001,12,0.514621053
2002-01-15,2002,1,0.516866667
2002-02-15,2002,2,0.513045
2002-03-15,2002,3,0.524335
2002-04-15,2002,4,0.535395
2002-05-15,2002,5,0.549734783
2002-06-15,2002,6,0.569384211
2002-07-15,2002,7,0.554356522
2002-08-15,2002,8,0.542166667
2002-09-15,2002,9,0.547014286
2002-10-15,2002,10,0.549813636
2002-11-15,2002,11,0.561128571
2002-12-15,2002,12,0.563325
2003-01-15,2003,1,0.582542857
2003-02-15,2003,2,0.59465
2003-03-15,2003,3,0.60232381
2003-04-15,2003,4,0.609026316
2003-05-15,2003,5,0.646995455
2003-06-15,2003,6,0.664255
2003-07-15,2003,7,0.66213913
2003-08-15,2003,8,0.65118
2003-09-15,2003,9,0.661413636
2003-10-15,2003,10,0.694063636
2003-11-15,2003,11,0.715865
2003-12-15,2003,12,0.73832381
2004-01-15,2004,1,0.76947
2004-02-15,2004,2,0.777715
2004-03-15,2004,3,0.749782609
2004-04-15,2004,4,0.7442
2004-05-15,2004,5,0.705447619
2004-06-15,2004,6,0.694180952
2004-07-15,2004,7,0.716390909
2004-08-15,2004,8,0.710433333
2004-09-15,2004,9,0.701345455
2004-10-15,2004,10,0.733135
2004-11-15,2004,11,0.768881818
2004-12-15,2004,12,0.767757143
2005-01-15,2005,1,0.764742105
2005-02-15,2005,2,0.780745
2005-03-15,2005,3,0.785861905
2005-04-15,2005,4,0.77243
2005-05-15,2005,5,0.766186364
2005-06-15,2005,6,0.766714286
2005-07-15,2005,7,0.752442857
2005-08-15,2005,8,0.761304545
2005-09-15,2005,9,0.765281818
2005-10-15,2005,10,0.753925
2005-11-15,2005,11,0.735454545
2005-12-15,2005,12,0.74303
2006-01-15,2006,1,0.74977
2006-02-15,2006,2,0.741635
2006-03-15,2006,3,0.727747826
2006-04-15,2006,4,0.735023529
2006-05-15,2006,5,0.763326087
2006-06-15,2006,6,0.740247619
2006-07-15,2006,7,0.751433333
2006-08-15,2006,8,0.763009091
2006-09-15,2006,9,0.75662381
2006-10-15,2006,10,0.753857143
2006-11-15,2006,11,0.772072727
2006-12-15,2006,12,0.786110526
2007-01-15,2007,1,0.7839
2007-02-15,2007,2,0.78228
2007-03-15,2007,3,0.791922727
2007-04-15,2007,4,0.826261111
2007-05-15,2007,5,0.825173913
2007-06-15,2007,6,0.84226
2007-07-15,2007,7,0.867522727
2007-08-15,2007,8,0.828172727
2007-09-15,2007,9,0.846357895
2007-10-15,2007,10,0.898390909
2007-11-15,2007,11,0.898663636
2007-12-15,2007,12,0.872594737
2008-01-15,2008,1,0.881514286
2008-02-15,2008,2,0.912814286
2008-03-15,2008,3,0.925989474
2008-04-15,2008,4,0.9298
2008-05-15,2008,5,0.949136364
2008-06-15,2008,6,0.950825
2008-07-15,2008,7,0.962530435
2008-08-15,2008,8,0.881005
2008-09-15,2008,9,0.820513636
2008-10-15,2008,10,0.689436364
2008-11-15,2008,11,0.65568
2008-12-15,2008,12,0.66902381
2009-01-15,2009,1,0.67839
2009-02-15,2009,2,0.649015
2009-03-15,2009,3,0.664590909
2009-04-15,2009,4,0.712185
2009-05-15,2009,5,0.762561905
2009-06-15,2009,6,0.802252381
2009-07-15,2009,7,0.803952174
2009-08-15,2009,8,0.83442
2009-09-15,2009,9,0.861109091
2009-10-15,2009,10,0.908980952
2009-11-15,2009,11,0.92022381
2009-12-15,2009,12,0.902761905
2010-01-15,2010,1,0.915805556
2010-02-15,2010,2,0.88627
2010-03-15,2010,3,0.912013043
2010-04-15,2010,4,0.926494737
2010-05-15,2010,5,0.871709524
2010-06-15,2010,6,0.852914286
2010-07-15,2010,7,0.874309091
2010-08-15,2010,8,0.900047619
2010-09-15,2010,9,0.935804545
2010-10-15,2010,10,0.98119
2010-11-15,2010,11,0.99015
2010-12-15,2010,12,0.990947619
2011-01-15,2011,1,0.994073684
2011-02-15,2011,2,1.008595
2011-03-15,2011,3,1.010043478
2011-04-15,2011,4,1.055427778
2011-05-15,2011,5,1.068840909
2011-06-15,2011,6,1.060285714
2011-07-15,2011,7,1.076557143
2011-08-15,2011,8,1.048495455
2011-09-15,2011,9,1.02385
2011-10-15,2011,10,1.013515
2011-11-15,2011,11,1.010240909
2011-12-15,2011,12,1.011705
2012-01-15,2012,1,1.038805
2012-02-15,2012,2,1.072557143
2012-03-15,2012,3,1.054327273
2012-04-15,2012,4,1.035033333
2012-05-15,2012,5,0.999278261
2012-06-15,2012,6,0.99864
2012-07-15,2012,7,1.029263636
2012-08-15,2012,8,1.0468
2012-09-15,2012,9,1.039465
2012-10-15,2012,10,1.029213636
2012-11-15,2012,11,1.041022727
2012-12-15,2012,12,1.046836842
2013-01-15,2013,1,1.050285714
2013-02-15,2013,2,1.03192
2013-03-15,2013,3,1.03331
2013-04-15,2013,4,1.038725
2013-05-15,2013,5,0.991982609
2013-06-15,2013,6,0.943231579
2013-07-15,2013,7,0.917217391
2013-08-15,2013,8,0.90432381
2013-09-15,2013,9,0.927785714
2013-10-15,2013,10,0.951627273
2013-11-15,2013,11,0.933095238
2013-12-15,2013,12,0.898885
2014-01-15,2014,1,0.886480952
2014-02-15,2014,2,0.89661
2014-03-15,2014,3,0.907109524
2014-04-15,2014,4,0.931378947
2014-05-15,2014,5,0.930918182
2014-06-15,2014,6,0.936825
2014-07-15,2014,7,0.9392
2014-08-15,2014,8,0.93039
2014-09-15,2014,9,0.906177273
2014-10-15,2014,10,0.878413636
2014-11-15,2014,11,0.865035
2014-12-15,2014,12,0.82557619
2015-01-15,2015,1,0.80918
2015-02-15,2015,2,0.778985
2015-03-15,2015,3,0.773113636
2015-04-15,2015,4,0.77392
2015-05-15,2015,5,0.79063
2015-06-15,2015,6,0.772333333
2015-07-15,2015,7,0.742313043
2015-08-15,2015,8,0.72942
2015-09-15,2015,9,0.705377273
2015-10-15,2015,10,0.721009524
2015-11-15,2015,11,0.715471429
2015-12-15,2015,12,0.724828571
2016-01-15,2016,1,0.701463158
2016-02-15,2016,2,0.712795238
2016-03-15,2016,3,0.748319048
2016-04-15,2016,4,0.766195
2016-05-15,2016,5,0.732231818
2016-06-15,2016,6,0.739619048
2016-07-15,2016,7,0.752590476
2016-08-15,2016,8,0.762959091
2016-09-15,2016,9,0.759477273
2016-10-15,2016,10,0.761595
2016-11-15,2016,11,0.753568182
2016-12-15,2016,12,0.73614
2017-01-15,2017,1,0.745295
2017-02-15,2017,2,0.766765
2017-03-15,2017,3,0.762352174
2017-04-15,2017,4,0.7533
2017-05-15,2017,5,0.743352174
2017-06-15,2017,6,0.755890476
2017-07-15,2017,7,0.779304762
2017-08-15,2017,8,0.791527273
2017-09-15,2017,9,0.79722381
2017-10-15,2017,10,0.778819048
2017-11-15,2017,11,0.7625
2017-12-15,2017,12,0.763778947
2018-01-15,2018,1,0.794319048
2018-02-15,2018,2,0.78797
2018-03-15,2018,3,0.776571429
2018-04-15,2018,4,0.77095
